origin,destination,mid,second_status,scheduled_time,scheduled_date,destination_icao,dow,flight_num,status1,actual_date,origin_icao,airline_icao,airline,international,airplane_type,belt,miladi_scheduled,terminal,counter,status2,actual_time,delay,miladi_actual,gate,type_,register,Airline,Date
تهران,ZAH,ZAH_4294,NULL,23:55:00,1402-02-01,OIZH,جمعه,IRM1071, باطل شد ,1402-02-01,OIII,W5, ماهان,false,RJ100,,2023-04-21,ورودی داخلی,,NULL,23:55:00,NULL,2023-04-21,,arrival,NULL,irm,1402-02-01
تهران,AZD,AZD_7576,NULL,23:50:00,1402-02-01,OIYY,جمعه,IRM1021, طبق برنامه ,1402-02-01,OIII,W5,ماهان,false,NULL,,2023-04-21,ترمینال ورودی داخلی,,NULL,23:50:00,NULL,2023-04-21,,arrival,NULL,irm,1402-02-01
THR,کرمان,THR_64096746fb6d3904521b7bb1,,23:40:00,1402-02-01,OIKK,جمعه,IRM1053,Check-in,1402-02-01,OIII,IRM,ماهان ,false,AB6,,2023-04-21,Terminal 4,"20, 21, 22",دريافت كارت پرواز ,23:40:00,0,2023-04-21,,departure,,irm,1402-02-01
تهران,AZD,AZD_7593,پایان دریافت بار,23:50:00,1402-02-01,OIYY,شنبه,IRM1021, نشست23:30,1402-02-01,OIII,W5,ماهان,false,NULL,,2023-04-21,ترمینال ورودی داخلی,,NULL,23:30:00,NULL,2023-04-21,,arrival,NULL,irm,1402-02-01
THR,یزد,THR_640966c961c48a041fc62350,,22:30:00,1402-02-01,OIYY,جمعه,IRM1021,Departed,1402-02-01,OIII,IRM,ماهان ,false,RJ85,,2023-04-21,Terminal 4,25,پرواز كرد ,22:44:00,14,2023-04-21,6,departure,EPMOM,irm,1402-02-01
کرمان,THR,THR_6409ac48fb6d39044b2ed5a9,دریافت بار از نقاله ,22:40:00,1402-02-01,OIII,جمعه,IRM1052,LANDED,1402-02-01,OIKK,IRM,ماهان ,false,A310,4,2023-04-21,Terminal 6,,نشست ,22:22:00,-18,2023-04-21,,arrival,,irm,1402-02-01
ZAH,تهران,ZAH_4299,NULL,22:05:00,1402-02-01,OIII,جمعه,IRM4540,پروازکرد22:20,1402-02-01,OIZH,W5, ماهان,false,RJ100,,2023-04-21,خروجی داخلی,5,NULL,22:20:00,NULL,2023-04-21,2,departure,NULL,irm,1402-02-01
مشهد,KER,KER_6417e6e39f635406f387685d,پایان دریافت بار ,22:15:00,1402-02-01,OIKK,جمعه,IRM1058,LANDED,1402-02-01,OIMM,IRM,ماهان ,false,A300-600,1,2023-04-21,Domestic Arrivals,,نشست ,22:07:00,-8,2023-04-21,,arrival,,irm,1402-02-01
THR,زاهدان,THR_6409663a61c48a041fc62293,,22:00:00,1402-02-01,OIZH,جمعه,IRM1071,ONTIME,1402-02-01,OIII,IRM,ماهان ,false,RJ85,,2023-04-21,Terminal 4,,طبق برنامه ,22:00:00,0,2023-04-21,,departure,,irm,1402-02-01
سیرجان,THR,THR_64098ca1fb6d39044ea6f38d,پایان دریافت بار ,21:50:00,1402-02-01,OIII,جمعه,IRM1072,LANDED,1402-02-01,OIKY,IRM,ماهان ,false,BAE146,4,2023-04-21,Terminal 6,,نشست ,21:41:00,-9,2023-04-21,,arrival,EPMEB,irm,1402-02-01
