,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,arrival,departure
25840,42528.0,IR-0001,small_airport,Khaneh Airport,36.73334122,45.15000153,4804.0,AS,IR,IR-02,Khaneh,no,OITH,KHA,,,,,0,0
25841,43227.0,IR-0002,small_airport,Ahmadi Military Air Field,29.0991993,51.03530121,,AS,IR,IR-06,,no,,,,,,,0,0
25842,43228.0,IR-0003,small_airport,Darrahi Military Air Field,29.37579918,51.06750107,,AS,IR,IR-06,Sadabad,no,,,,,,,0,0
25843,44966.0,IR-0004,small_airport,Shahrokhi Highway Strip,35.2320893,48.61355782,,AS,IR,IR-24,,no,,,,,,,0,0
25844,44967.0,IR-0005,small_airport,Shahabad Highway Strip,34.07048906,46.59709454,,AS,IR,IR-17,,no,,,,,,,0,0
25845,44968.0,IR-0006,closed,Andimeshk-Karkhe Dam Highway Strip,32.40275522,48.18187237,,AS,IR,IR-10,,no,,,,,,باند قدیمی فرودگاه اندیمشک,0,0
25846,44969.0,IR-0007,small_airport,Shadgan Airport,30.66442947,48.64448905,,AS,IR,IR-10,,no,,,,,,,0,0
25847,44972.0,IR-0008,small_airport,Gorreh Airport,29.90723638,50.42784691,,AS,IR,IR-06,,no,,,,,,,0,0
25848,44973.0,IR-0009,small_airport,Behbehan Northwest Airport,30.73145207,50.11411428,,AS,IR,IR-10,,no,,,,,,,0,0
25849,28487.0,IR-001,small_airport,Vayqan Air Base,38.0719986,45.72359848,4200.0,AS,IR,IR-01,Shabestar,no,,,,,,,0,0
25850,44974.0,IR-0010,small_airport,Esfahan East Airport,32.58269218,52.00221777,,AS,IR,IR-04,,no,,,,,,,0,0
25851,44975.0,IR-0011,small_airport,Mansurabad North Airport,30.03582962,52.80027151,,AS,IR,IR-14,,no,,,,,,,0,0
25852,44976.0,IR-0012,small_airport,Tehran West Airport,35.74196675,51.22922659,,AS,IR,IR-07,,no,,,,,,,0,0
25853,44977.0,IR-0013,small_airport,Sarvestan Airport,29.23499439,53.12855244,,AS,IR,IR-14,,no,,,,,,,0,0
25854,46542.0,IR-0014,small_airport,Ella North Airport,31.92180801,48.87751713,,AS,IR,IR-10,Langar,no,,,,,,,0,0
25855,308231.0,IR-0015,small_airport,Khar Rud Airport,35.943639,50.082056,,AS,IR,IR-28,,no,,,,,,,0,0
25856,308232.0,IR-0016,small_airport,Khāsh Airport,28.23698972,61.18260384,,AS,IR,IR-13,,no,,,,,,,0,0
